"","docname","Segment","WPS","WC","Sixltr","Dic","x1_function","x2_pronoun","x3_ppron","x4_i","x5_we","x6_you","x7_shehe","x8_they","x9_ipron","x10_article","x11_prep","x12_auxverb","x13_adverb","x14_conj","x15_negate","x20_verb","x21_adj","x22_compare","x23_interrog","x24_number","x25_quant","x30_affect","x31_posemo","x32_negemo","x33_anx","x34_anger","x35_sad","x40_social","x41_family","x42_friend","x43_female","x44_male","x50_cogproc","x51_insight","x52_cause","x53_discrep","x54_tentat","x55_certain","x56_differ","x60_percept","x61_see","x62_hear","x63_feel","x70_bio","x71_body","x72_health","x73_sexual","x74_ingest","x80_drives","x81_affiliation","x82_achieve","x83_power","x84_reward","x85_risk","x90_focuspast","x91_focuspresent","x92_focusfuture","x100_relativ","x101_motion","x102_space","x103_time","x110_work","x111_leisure","x112_home","x113_money","x114_relig","x115_death","x120_informal","x121_swear","x122_netspeak","x123_assent","x124_nonflu","x125_filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"87","87",87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","88",88,33.3333333333333,100,10,326,55,16,13,5,0,0,7,1,3,5,15,13,7,4,2,21,4,3,1,2,4,3,3,0,0,0,0,13,1,0,0,8,10,2,0,0,3,2,3,4,0,3,0,0,0,0,0,0,7,0,2,5,0,0,6,12,3,23,5,14,5,5,0,0,2,1,0,0,0,0,0,0,0,8,2,1,0,0,0,0,0,5,5,0,8
"89","89",89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","90",90,3,3,0,300,66.67,33.33,0,0,0,0,0,0,33.33,0,0,66.67,0,0,0,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0,0,0,0,0,0,33.33,33.33,0,66.67
"91","91",91,18,72,6.94,320.83,56.94,18.06,15.28,2.78,0,11.11,1.39,0,2.78,6.94,18.06,13.89,4.17,5.56,4.17,16.67,6.94,8.33,1.39,0,4.17,5.56,4.17,1.39,0,0,0,25,4.17,0,4.17,0,11.11,0,0,4.17,1.39,4.17,1.39,4.17,2.78,1.39,0,0,0,0,0,0,4.17,1.39,0,0,0,2.78,2.78,11.11,0,6.94,0,2.78,4.17,1.39,4.17,1.39,1.39,0,0,1.39,0,0,0,1.39,0,15.28,5.56,1.39,0,0,0,0,0,8.33,8.33,0,15.28
"92","92",92,15.6666666666667,47,12.77,257.45,55.32,8.51,2.13,2.13,0,0,0,0,6.38,12.77,19.15,4.26,4.26,8.51,0,8.51,6.38,10.64,0,0,0,12.77,8.51,4.26,0,0,0,6.38,0,0,2.13,0,6.38,2.13,0,0,2.13,0,2.13,4.26,2.13,2.13,0,0,0,0,0,0,8.51,0,4.26,8.51,0,0,2.13,4.26,0,8.51,0,6.38,2.13,0,2.13,0,6.38,0,0,0,0,0,0,0,0,12.77,6.38,4.26,0,0,0,0,0,2.13,2.13,0,12.77
"93","93",93,21.6,108,10.19,246.3,50.93,12.96,4.63,1.85,0,2.78,0,0,8.33,5.56,14.81,10.19,4.63,7.41,2.78,18.52,5.56,6.48,1.85,0.93,0.93,2.78,2.78,0,0,0,0,7.41,0.93,0,0,0,9.26,2.78,0.93,2.78,0,0,2.78,0.93,0.93,0,0,0,0,0,0,0,3.7,0.93,0,2.78,0,0,3.7,9.26,2.78,10.19,3.7,3.7,2.78,2.78,0.93,0.93,2.78,0,0,0,0,0,0,0,0,21.3,1.85,12.04,0,0,1.85,0,0,3.7,3.7,0,21.3
"94","94",94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","95",95,16,32,9.38,281.25,53.12,9.38,3.12,0,0,3.12,0,0,6.25,6.25,21.88,9.38,3.12,3.12,3.12,18.75,0,3.12,3.12,0,3.12,3.12,3.12,0,0,0,0,3.12,0,0,0,0,21.88,6.25,3.12,3.12,6.25,3.12,6.25,0,0,0,0,0,0,0,0,0,9.38,0,0,6.25,3.12,0,3.12,15.62,0,12.5,0,9.38,3.12,0,0,0,3.12,0,0,3.12,0,0,3.12,0,0,18.75,0,9.38,0,0,6.25,0,0,3.12,3.12,0,18.75
"96","96",96,13,13,15.38,307.69,38.46,15.38,7.69,7.69,0,0,0,0,7.69,7.69,7.69,15.38,0,0,0,30.77,15.38,15.38,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,15.38,7.69,0,0,7.69,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,30.77,0,23.08,0,7.69,15.38,0,0,0,0,0,0,0,0,0,0,0,0,15.38,7.69,0,0,0,0,0,0,7.69,7.69,0,15.38
"97","97",97,5,10,0,300,40,30,20,0,0,20,0,0,10,0,0,10,0,0,0,40,0,0,0,10,0,20,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,20
